# Aircraft families, used only for artwork fallback (<brand>_<FAMILY>, ANY_<FAMILY>).
# Group types only when one side-profile illustration can credibly stand in for the others.
# Exact subtypes always remain distinct artwork keys; unlisted types have no family fallback.
# Family codes must not reuse an ICAO type designator.
# Deliberately not grouped: V-tail Bonanza (BE35), T-tail DA20/DA40/PA-38, SF50, helicopters
# with distinctive shapes (B47G, H47), and military types flying under airliner codes.
type,family,family_name,notes
E290,EJET-E2,Embraer E-Jet E2,kept apart from E1: larger geared-fan engines
E295,EJET-E2,Embraer E-Jet E2,
DH8A,DASH8,De Havilland Canada Dash 8,
DH8B,DASH8,De Havilland Canada Dash 8,
DH8C,DASH8,De Havilland Canada Dash 8,
DH8D,DASH8,De Havilland Canada Dash 8,Q400 is much longer
AT43,ATR-FAM,ATR 42/72,
AT45,ATR-FAM,ATR 42/72,
AT46,ATR-FAM,ATR 42/72,
AT72,ATR-FAM,ATR 42/72,
AT73,ATR-FAM,ATR 42/72,
AT75,ATR-FAM,ATR 42/72,
AT76,ATR-FAM,ATR 42/72,
BE9L,KINGAIR,Beechcraft King Air,
BE9T,KINGAIR,Beechcraft King Air,
BE10,KINGAIR,Beechcraft King Air,
BE20,KINGAIR,Beechcraft King Air,
BE30,KINGAIR,Beechcraft King Air,
B350,KINGAIR,Beechcraft King Air,
PC12,TURBOPROP-SINGLE,Low-wing single turboprop,
TBM7,TURBOPROP-SINGLE,Low-wing single turboprop,
TBM8,TURBOPROP-SINGLE,Low-wing single turboprop,
TBM9,TURBOPROP-SINGLE,Low-wing single turboprop,
P46T,TURBOPROP-SINGLE,Low-wing single turboprop,
M600,TURBOPROP-SINGLE,Low-wing single turboprop,
EPIC,TURBOPROP-SINGLE,Low-wing single turboprop,
C150,GA-HIGHWING,High-wing piston single,
C152,GA-HIGHWING,High-wing piston single,
C172,GA-HIGHWING,High-wing piston single,
C72R,GA-HIGHWING,High-wing piston single,
C175,GA-HIGHWING,High-wing piston single,
C177,GA-HIGHWING,High-wing piston single,
C77R,GA-HIGHWING,High-wing piston single,
C182,GA-HIGHWING,High-wing piston single,
C82R,GA-HIGHWING,High-wing piston single,
C82S,GA-HIGHWING,High-wing piston single,
C82T,GA-HIGHWING,High-wing piston single,
C206,GA-HIGHWING,High-wing piston single,
T206,GA-HIGHWING,High-wing piston single,
C207,GA-HIGHWING,High-wing piston single,
C210,GA-HIGHWING,High-wing piston single,
T210,GA-HIGHWING,High-wing piston single,
PA22,GA-HIGHWING,High-wing piston single,
C120,GA-TAILWHEEL,High-wing tailwheel single,
C140,GA-TAILWHEEL,High-wing tailwheel single,
C170,GA-TAILWHEEL,High-wing tailwheel single,
C180,GA-TAILWHEEL,High-wing tailwheel single,
C185,GA-TAILWHEEL,High-wing tailwheel single,
C195,GA-TAILWHEEL,High-wing tailwheel single,
PA11,GA-TAILWHEEL,High-wing tailwheel single,
PA18,GA-TAILWHEEL,High-wing tailwheel single,
PA20,GA-TAILWHEEL,High-wing tailwheel single,
J3,GA-TAILWHEEL,High-wing tailwheel single,
J5,GA-TAILWHEEL,High-wing tailwheel single,
CH7A,GA-TAILWHEEL,High-wing tailwheel single,
CH7B,GA-TAILWHEEL,High-wing tailwheel single,
BL8,GA-TAILWHEEL,High-wing tailwheel single,
L8,GA-TAILWHEEL,High-wing tailwheel single,
M7,GA-TAILWHEEL,High-wing tailwheel single,
S108,GA-TAILWHEEL,High-wing tailwheel single,
AR15,GA-TAILWHEEL,High-wing tailwheel single,
RELI,GA-TAILWHEEL,High-wing tailwheel single,
CRER,GA-TAILWHEEL,High-wing tailwheel single,
P28A,GA-LOWWING,Low-wing piston single,
P28B,GA-LOWWING,Low-wing piston single,
P28R,GA-LOWWING,Low-wing piston single,
P32R,GA-LOWWING,Low-wing piston single,
PA32,GA-LOWWING,Low-wing piston single,
PA24,GA-LOWWING,Low-wing piston single,
PA46,GA-LOWWING,Low-wing piston single,
SR20,GA-LOWWING,Low-wing piston single,
SR22,GA-LOWWING,Low-wing piston single,
S22T,GA-LOWWING,Low-wing piston single,
COL3,GA-LOWWING,Low-wing piston single,
COL4,GA-LOWWING,Low-wing piston single,
M20P,GA-LOWWING,Low-wing piston single,
M20T,GA-LOWWING,Low-wing piston single,
BE33,GA-LOWWING,Low-wing piston single,
BE36,GA-LOWWING,Low-wing piston single,
BT36,GA-LOWWING,Low-wing piston single,
BE23,GA-LOWWING,Low-wing piston single,
AA5,GA-LOWWING,Low-wing piston single,
AC11,GA-LOWWING,Low-wing piston single,
RV4,GA-LOWWING,Low-wing piston single,RVs mix tailwheel and tricycle gear
RV6,GA-LOWWING,Low-wing piston single,
RV7,GA-LOWWING,Low-wing piston single,
RV8,GA-LOWWING,Low-wing piston single,
RV9,GA-LOWWING,Low-wing piston single,
RV10,GA-LOWWING,Low-wing piston single,
RV12,GA-LOWWING,Low-wing piston single,
GLAS,GA-LOWWING,Low-wing piston single,
EVSS,GA-LOWWING,Low-wing piston single,
CRUZ,GA-LOWWING,Low-wing piston single,
CTAH,GA-LOWWING,Low-wing piston single,
ERCO,GA-LOWWING,Low-wing piston single,
T18,GA-LOWWING,Low-wing piston single,
PA23,GA-TWIN,Light piston twin,
PA30,GA-TWIN,Light piston twin,
PA31,GA-TWIN,Light piston twin,
PA34,GA-TWIN,Light piston twin,
PA44,GA-TWIN,Light piston twin,
BE55,GA-TWIN,Light piston twin,
BE58,GA-TWIN,Light piston twin,
BE60,GA-TWIN,Light piston twin,
BE95,GA-TWIN,Light piston twin,
C310,GA-TWIN,Light piston twin,
C335,GA-TWIN,Light piston twin,
C340,GA-TWIN,Light piston twin,
C402,GA-TWIN,Light piston twin,
C414,GA-TWIN,Light piston twin,
C421,GA-TWIN,Light piston twin,
AEST,GA-TWIN,Light piston twin,
DA42,GA-TWIN,Light piston twin,
DA62,GA-TWIN,Light piston twin,
E50P,BIZJET-LIGHT,Light business jet,
E55P,BIZJET-LIGHT,Light business jet,
C510,BIZJET-LIGHT,Light business jet,
C525,BIZJET-LIGHT,Light business jet,
C25A,BIZJET-LIGHT,Light business jet,
C25B,BIZJET-LIGHT,Light business jet,
C25C,BIZJET-LIGHT,Light business jet,
C25M,BIZJET-LIGHT,Light business jet,
C501,BIZJET-LIGHT,Light business jet,
EA50,BIZJET-LIGHT,Light business jet,
HDJT,BIZJET-LIGHT,Light business jet,
PC24,BIZJET-LIGHT,Light business jet,
PRM1,BIZJET-LIGHT,Light business jet,
BE40,BIZJET-LIGHT,Light business jet,
LJ31,BIZJET-LIGHT,Light business jet,
LJ35,BIZJET-LIGHT,Light business jet,
LJ40,BIZJET-LIGHT,Light business jet,
LJ45,BIZJET-LIGHT,Light business jet,
LJ55,BIZJET-LIGHT,Light business jet,
LJ60,BIZJET-LIGHT,Light business jet,
LJ75,BIZJET-LIGHT,Light business jet,
C550,BIZJET-MIDSIZE,Midsize business jet,
C560,BIZJET-MIDSIZE,Midsize business jet,
C56X,BIZJET-MIDSIZE,Midsize business jet,
C650,BIZJET-MIDSIZE,Midsize business jet,
C680,BIZJET-MIDSIZE,Midsize business jet,
C68A,BIZJET-MIDSIZE,Midsize business jet,
C700,BIZJET-MIDSIZE,Midsize business jet,
C750,BIZJET-MIDSIZE,Midsize business jet,
H25B,BIZJET-MIDSIZE,Midsize business jet,
H25C,BIZJET-MIDSIZE,Midsize business jet,
HA4T,BIZJET-MIDSIZE,Midsize business jet,
E545,BIZJET-MIDSIZE,Midsize business jet,
E550,BIZJET-MIDSIZE,Midsize business jet,
G150,BIZJET-MIDSIZE,Midsize business jet,
GALX,BIZJET-MIDSIZE,Midsize business jet,
ASTR,BIZJET-MIDSIZE,Midsize business jet,
G280,BIZJET-MIDSIZE,Midsize business jet,
CL30,BIZJET-MIDSIZE,Midsize business jet,
CL35,BIZJET-MIDSIZE,Midsize business jet,
FA10,BIZJET-MIDSIZE,Midsize business jet,
FA20,BIZJET-MIDSIZE,Midsize business jet,
F2TH,BIZJET-MIDSIZE,Midsize business jet,
GLF2,BIZJET-LARGE,Large-cabin business jet,
GLF4,BIZJET-LARGE,Large-cabin business jet,
GLF5,BIZJET-LARGE,Large-cabin business jet,
GLF6,BIZJET-LARGE,Large-cabin business jet,
GA4C,BIZJET-LARGE,Large-cabin business jet,
GA5C,BIZJET-LARGE,Large-cabin business jet,
GA6C,BIZJET-LARGE,Large-cabin business jet,
GA7C,BIZJET-LARGE,Large-cabin business jet,
GA8C,BIZJET-LARGE,Large-cabin business jet,
GLEX,BIZJET-LARGE,Large-cabin business jet,
GL5T,BIZJET-LARGE,Large-cabin business jet,
GL7T,BIZJET-LARGE,Large-cabin business jet,
CL60,BIZJET-LARGE,Large-cabin business jet,
FA6X,BIZJET-LARGE,Large-cabin business jet,
FA50,FALCON-TRIJET,Dassault Falcon trijet,
F900,FALCON-TRIJET,Dassault Falcon trijet,
FA7X,FALCON-TRIJET,Dassault Falcon trijet,
FA8X,FALCON-TRIJET,Dassault Falcon trijet,
R22,HELI-SINGLE,Light single-engine helicopter,
R44,HELI-SINGLE,Light single-engine helicopter,
R66,HELI-SINGLE,Light single-engine helicopter,
B06,HELI-SINGLE,Light single-engine helicopter,
B407,HELI-SINGLE,Light single-engine helicopter,
AS50,HELI-SINGLE,Light single-engine helicopter,
EC20,HELI-SINGLE,Light single-engine helicopter,
EC30,HELI-SINGLE,Light single-engine helicopter,
A119,HELI-SINGLE,Light single-engine helicopter,
EC35,HELI-TWIN,Light twin helicopter,
EC45,HELI-TWIN,Light twin helicopter,
EC55,HELI-TWIN,Light twin helicopter,
A109,HELI-TWIN,Light twin helicopter,
B430,HELI-TWIN,Light twin helicopter,
S76,HELI-TWIN,Light twin helicopter,
C17,MIL-TRANSPORT,High-wing T-tail military transport,
C5M,MIL-TRANSPORT,High-wing T-tail military transport,
C130,MIL-TRANSPORT,High-wing T-tail military transport,
C30J,MIL-TRANSPORT,High-wing T-tail military transport,
K35R,KC135-FAM,KC-135 / 707,
K35E,KC135-FAM,KC-135 / 707,
B703,KC135-FAM,KC-135 / 707,
E6,KC135-FAM,KC-135 / 707,
